查询条件,""数据口径: 15天/点击/不含赠品/下单订单; 产品线: 互动广告", 搜索快车", 智能投放", 推荐广告", 站外广告; 时间: 2025-04-13至2025-04-18; 自身品牌: undefined; 行业选择: 药食同源""
点击时间,'竞品-品牌',平均展现量
20250413,竞品-品牌,17291
20250414,竞品-品牌,16245
20250415,竞品-品牌,15738
20250416,竞品-品牌,15536
20250417,竞品-品牌,16862
20250418,竞品-品牌,5346
查询条件,""数据口径: 15天/点击/不含赠品/下单订单; 产品线: 互动广告", 搜索快车", 智能投放", 推荐广告", 站外广告; 时间: 2025-04-13至2025-04-18; 自身品牌: undefined; 行业选择: 药食同源""
点击时间,'行业-品牌',平均展现量
20250413,行业-品牌,250
20250414,行业-品牌,253
20250415,行业-品牌,246
20250416,行业-品牌,272
20250417,行业-品牌,271
20250418,行业-品牌,94
查询条件,""数据口径: 15天/点击/不含赠品/下单订单; 产品线: 互动广告", 搜索快车", 智能投放", 推荐广告", 站外广告; 时间: 2025-04-13至2025-04-18; 自身品牌: undefined; 行业选择: 药食同源""
点击时间,'自身-品牌',展现数
20250413,自身-品牌,16051
20250414,自身-品牌,13358
20250415,自身-品牌,17509
20250416,自身-品牌,14442
20250417,自身-品牌,15029
20250418,自身-品牌,4610
