商品信息,搜索词,流量贡献占比,词下排名
"化小果化州橘红  正宗陈年化橘红片  胎果切片  独立包装 60克/盒
SPU:100118124893
SKU:100118124893
	","化橘红
词热度 157	",<10%,"27
较前一日：3	"
"化小果化州橘红  正宗陈年化橘红片  胎果切片  独立包装 60克/盒
SPU:100118124893
SKU:100118124893
	","橘红
词热度 136	",<10%,"30
较前一日：-3	"
"化小果化州橘红  正宗陈年化橘红片  胎果切片  独立包装 60克/盒
SPU:100118124893
SKU:100118124893
	","化橘红京东自营官方旗舰店
词热度 57	",<10%,"13
较前一日：-2	"
"化小果化州橘红  正宗陈年化橘红片  胎果切片  独立包装 60克/盒
SPU:100118124893
SKU:100118124893
	","果导片
词热度 30	",<10%,"8
较前一日：14	"
"化小果化州橘红  正宗陈年化橘红片  胎果切片  独立包装 60克/盒
SPU:100118124893
SKU:100118124893
	","化州橘红
词热度 71	",<10%,"20
较前一日：2	"
"化小果化州橘红  正宗陈年化橘红片  胎果切片  独立包装 60克/盒
SPU:100118124893
SKU:100118124893
	","橘
词热度 228	",<10%,"58
较前一日：26	"
"化小果化州橘红  正宗陈年化橘红片  胎果切片  独立包装 60克/盒
SPU:100118124893
SKU:100118124893
	","化州橘红正宗京东自营店
词热度 36	",<10%,"12
较前一日：1	"
"化小果化州橘红  正宗陈年化橘红片  胎果切片  独立包装 60克/盒
SPU:100118124893
SKU:100118124893
	","橘红片化州橘红正宗京东自营
词热度 22	",<10%,"8
较前一日：1	"
"化小果化州橘红  正宗陈年化橘红片  胎果切片  独立包装 60克/盒
SPU:100118124893
SKU:100118124893
	","化州橘红正宗京东自营旗舰店
词热度 9	",<10%,"5
较前一日：-1	"
"化小果化州橘红  正宗陈年化橘红片  胎果切片  独立包装 60克/盒
SPU:100118124893
SKU:100118124893
	","橘红片
词热度 29	",<10%,"27
较前一日：2	"
"化小果化州橘红 正宗陈年化橘红果 整果 胎果 养生茶 150g/瓶
SPU:100133339355
SKU:100133339355
	","橘红
词热度 136	",10~20%,"31
较前一日：5	"
"化小果化州橘红 正宗陈年化橘红果 整果 胎果 养生茶 150g/瓶
SPU:100133339355
SKU:100133339355
	","化橘红
词热度 157	",10~20%,"35
较前一日：6	"
"化小果化州橘红 正宗陈年化橘红果 整果 胎果 养生茶 150g/瓶
SPU:100133339355
SKU:100133339355
	","化橘红京东自营官方旗舰店
词热度 57	",<10%,"20
较前一日：4	"
"化小果化州橘红 正宗陈年化橘红果 整果 胎果 养生茶 150g/瓶
SPU:100133339355
SKU:100133339355
	","化州橘红
词热度 71	",<10%,"24
较前一日：4	"
"化小果化州橘红 正宗陈年化橘红果 整果 胎果 养生茶 150g/瓶
SPU:100133339355
SKU:100133339355
	","化州橘红正宗京东自营店
词热度 36	",<10%,"19
较前一日：-1	"
"化小果化州橘红 正宗陈年化橘红果 整果 胎果 养生茶 150g/瓶
SPU:100133339355
SKU:100133339355
	","橘红片化州橘红正宗京东自营
词热度 22	",<10%,"13
较前一日：15	"
"化小果化州橘红 正宗陈年化橘红果 整果 胎果 养生茶 150g/瓶
SPU:100133339355
SKU:100133339355
	","正宗化州本地橘红
词热度 9	",<10%,"3
较前一日：14	"
"化小果化州橘红 正宗陈年化橘红果 整果 胎果 养生茶 150g/瓶
SPU:100133339355
SKU:100133339355
	","化州橘红正宗京东自营旗舰店
词热度 9	",<10%,"12
较前一日：-2	"
"化小果化州橘红 正宗陈年化橘红果 整果 胎果 养生茶 150g/瓶
SPU:100133339355
SKU:100133339355
	","橘
词热度 228	",<10%,"152
较前一日：138	"
"化小果化州橘红 正宗陈年化橘红果 整果 胎果 养生茶 150g/瓶
SPU:100133339355
SKU:100133339355
	","化橘红官方旗舰店
词热度 5	",<10%,"2
较前一日：21	"
"化小果化州橘红 正宗化橘红皮   陈年橘红皮 独立包装 60克/盒
SPU:100141495974
SKU:100141495974
	","化橘红
词热度 157	",10~20%,"38
较前一日：-9	"
"化小果化州橘红 正宗化橘红皮   陈年橘红皮 独立包装 60克/盒
SPU:100141495974
SKU:100141495974
	","橘红
词热度 136	",<10%,"46
较前一日：2	"
"化小果化州橘红 正宗化橘红皮   陈年橘红皮 独立包装 60克/盒
SPU:100141495974
SKU:100141495974
	","化橘红京东自营官方旗舰店
词热度 57	",<10%,"36
较前一日：-3	"
"化小果化州橘红 正宗化橘红皮   陈年橘红皮 独立包装 60克/盒
SPU:100141495974
SKU:100141495974
	","化州橘红
词热度 71	",<10%,"60
较前一日：-26	"
"化小果化州橘红 正宗化橘红皮   陈年橘红皮 独立包装 60克/盒
SPU:100141495974
SKU:100141495974
	","化州橘红正宗京东自营店
词热度 36	",<10%,"45
较前一日：-14	"
"化小果化州橘红 正宗化橘红皮   陈年橘红皮 独立包装 60克/盒
SPU:100141495974
SKU:100141495974
	","橘子
词热度 385	",<10%,"244
较前一日：8	"
"化小果化州橘红 正宗化橘红皮   陈年橘红皮 独立包装 60克/盒
SPU:100141495974
SKU:100141495974
	","橘红片化州橘红正宗京东自营
词热度 22	",<10%,"47
较前一日：1	"
"化小果化州橘红 正宗化橘红皮   陈年橘红皮 独立包装 60克/盒
SPU:100141495974
SKU:100141495974
	","陈皮京东自营旗舰店
词热度 608	",<10%,"601
较前一日：180	"
"化小果化州橘红 正宗化橘红皮   陈年橘红皮 独立包装 60克/盒
SPU:100141495974
SKU:100141495974
	","特产
词热度 118	",<10%,"843
较前一日：-232	"
"化小果化州橘红 正宗化橘红皮   陈年橘红皮 独立包装 60克/盒
SPU:100141495974
SKU:100141495974
	","橘红京东自营官方旗舰店
词热度 9	",<10%,"27
较前一日：5	"
"正橘堂（ZHENG JU TANG）化州橘红 正宗化橘红片陈年橘红切片 50克/瓶 自然陈化
SPU:100141764064
SKU:100141764064
	","化橘红京东自营官方旗舰店
词热度 57	",10~20%,"60
较前一日：19	"
"正橘堂（ZHENG JU TANG）化州橘红 正宗化橘红片陈年橘红切片 50克/瓶 自然陈化
SPU:100141764064
SKU:100141764064
	","橘红
词热度 136	",10~20%,"141
较前一日：97	"
"正橘堂（ZHENG JU TANG）化州橘红 正宗化橘红片陈年橘红切片 50克/瓶 自然陈化
SPU:100141764064
SKU:100141764064
	","化州橘红正宗京东自营店
词热度 36	",10~20%,"67
较前一日：38	"
